model,base_model,scheme,recipe,params_b,benchmark,acc_before,acc_after,n_items,flip_rate,is_control,method,weight_bits,act_bits,num_type,is_instruct,family,notes
local/Qwen2.5-0.5B-Instruct-w4a16_randcalib,Qwen2.5-0.5B-Instruct,w4a16,w4a16_randcalib,0.5,arc_challenge,31.57,26.4505,1172,0.2509,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False
local/Qwen2.5-0.5B-Instruct-w4a16_randcalib,Qwen2.5-0.5B-Instruct,w4a16,w4a16_randcalib,0.5,hellaswag,50.7,33.9333,3000,0.2823,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False
local/Qwen2.5-0.5B-Instruct-w4a16_randcalib,Qwen2.5-0.5B-Instruct,w4a16,w4a16_randcalib,0.5,mmlu,31.9333,28.9333,3000,0.2027,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False
local/Qwen2.5-0.5B-Instruct-w4a16_wrongdomain,Qwen2.5-0.5B-Instruct,w4a16,w4a16_wrongdomain,0.5,arc_challenge,31.57,29.7782,1172,0.1544,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False
local/Qwen2.5-0.5B-Instruct-w4a16_wrongdomain,Qwen2.5-0.5B-Instruct,w4a16,w4a16_wrongdomain,0.5,hellaswag,50.7,42.8,3000,0.157,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False
local/Qwen2.5-0.5B-Instruct-w4a16_wrongdomain,Qwen2.5-0.5B-Instruct,w4a16,w4a16_wrongdomain,0.5,mmlu,31.9333,29.4667,3000,0.1533,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False
local/Qwen2.5-0.5B-Instruct-w4a16_pertensor,Qwen2.5-0.5B-Instruct,w4a16,w4a16_pertensor,0.5,arc_challenge,31.57,24.4027,1172,0.4096,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True
local/Qwen2.5-0.5B-Instruct-w4a16_pertensor,Qwen2.5-0.5B-Instruct,w4a16,w4a16_pertensor,0.5,hellaswag,50.7,25.7667,3000,0.508,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True
local/Qwen2.5-0.5B-Instruct-w4a16_pertensor,Qwen2.5-0.5B-Instruct,w4a16,w4a16_pertensor,0.5,mmlu,31.9333,24.9333,3000,0.4073,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True
local/Qwen2.5-0.5B-Instruct-w8a8_nosmooth,Qwen2.5-0.5B-Instruct,w8a8_int,w8a8_nosmooth,0.5,arc_challenge,31.57,31.6553,1172,0.0606,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True
local/Qwen2.5-0.5B-Instruct-w8a8_nosmooth,Qwen2.5-0.5B-Instruct,w8a8_int,w8a8_nosmooth,0.5,hellaswag,50.7,49.9667,3000,0.05,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True
local/Qwen2.5-0.5B-Instruct-w8a8_nosmooth,Qwen2.5-0.5B-Instruct,w8a8_int,w8a8_nosmooth,0.5,mmlu,31.9333,31.4333,3000,0.0497,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True
local/SmolLM-135M-Instruct-w4a16_randcalib,SmolLM-135M-Instruct,w4a16,w4a16_randcalib,0.135,arc_challenge,30.0341,29.2662,1172,0.1288,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False
local/SmolLM-135M-Instruct-w4a16_randcalib,SmolLM-135M-Instruct,w4a16,w4a16_randcalib,0.135,hellaswag,39.6333,37.8333,3000,0.126,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False
local/SmolLM-135M-Instruct-w4a16_randcalib,SmolLM-135M-Instruct,w4a16,w4a16_randcalib,0.135,mmlu,29.7333,28.2333,3000,0.1197,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False
local/SmolLM-135M-Instruct-w4a16_wrongdomain,SmolLM-135M-Instruct,w4a16,w4a16_wrongdomain,0.135,arc_challenge,30.0341,27.901,1172,0.1305,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False
local/SmolLM-135M-Instruct-w4a16_wrongdomain,SmolLM-135M-Instruct,w4a16,w4a16_wrongdomain,0.135,hellaswag,39.6333,37.8667,3000,0.1143,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False
local/SmolLM-135M-Instruct-w4a16_wrongdomain,SmolLM-135M-Instruct,w4a16,w4a16_wrongdomain,0.135,mmlu,29.7333,28.4,3000,0.1153,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False
local/SmolLM-135M-Instruct-w4a16_pertensor,SmolLM-135M-Instruct,w4a16,w4a16_pertensor,0.135,arc_challenge,30.0341,25.9386,1172,0.4044,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True
local/SmolLM-135M-Instruct-w4a16_pertensor,SmolLM-135M-Instruct,w4a16,w4a16_pertensor,0.135,hellaswag,39.6333,25.4667,3000,0.4297,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True
local/SmolLM-135M-Instruct-w4a16_pertensor,SmolLM-135M-Instruct,w4a16,w4a16_pertensor,0.135,mmlu,29.7333,26.2,3000,0.3767,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True
local/SmolLM-135M-Instruct-w8a8_nosmooth,SmolLM-135M-Instruct,w8a8_int,w8a8_nosmooth,0.135,arc_challenge,30.0341,29.0956,1172,0.0435,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True
