model,base_model,scheme,recipe,params_b,benchmark,acc_before,acc_after,n_items,flip_rate,is_control,method,weight_bits,act_bits,num_type,is_instruct,family,protocol,notes
local/Qwen2.5-0.5B-Instruct-control_w4a16_good-5shot,Qwen2.5-0.5B-Instruct,w4a16,control_w4a16_good,0.5,mmlu,47.2,39.4667,3000,0.2907,1,gptq,4,16,int,1,adversarial,published_fewshot,calib=good group=128 per_tensor=False
local/Qwen2.5-0.5B-Instruct-w4a16_randcalib-5shot,Qwen2.5-0.5B-Instruct,w4a16,w4a16_randcalib,0.5,mmlu,47.2,27.8667,3000,0.4667,0,gptq,4,16,int,1,adversarial,published_fewshot,calib=random_tokens group=128 per_tensor=False
local/Qwen2.5-0.5B-Instruct-w4a16_wrongdomain-5shot,Qwen2.5-0.5B-Instruct,w4a16,w4a16_wrongdomain,0.5,mmlu,47.2,37.4667,3000,0.322,0,gptq,4,16,int,1,adversarial,published_fewshot,calib=wrong_domain group=128 per_tensor=False
local/Qwen2.5-0.5B-Instruct-w4a16_pertensor-5shot,Qwen2.5-0.5B-Instruct,w4a16,w4a16_pertensor,0.5,mmlu,47.2,26.4,3000,0.4587,0,rtn,4,16,int,1,adversarial,published_fewshot,calib=good group=0 per_tensor=True
local/Qwen2.5-0.5B-Instruct-w8a8_nosmooth-5shot,Qwen2.5-0.5B-Instruct,w8a8_int,w8a8_nosmooth,0.5,mmlu,47.2,46.5333,3000,0.1027,0,rtn,8,8,int,1,adversarial,published_fewshot,calib=good group=0 per_tensor=True
local/Qwen2.5-1.5B-Instruct-control_w4a16_good-5shot,Qwen2.5-1.5B-Instruct,w4a16,control_w4a16_good,1.5,mmlu,59.5667,55.1667,3000,0.1933,1,gptq,4,16,int,1,adversarial,published_fewshot,calib=good group=128 per_tensor=False
local/Qwen2.5-1.5B-Instruct-w4a16_randcalib-5shot,Qwen2.5-1.5B-Instruct,w4a16,w4a16_randcalib,1.5,mmlu,59.5667,54.1333,3000,0.213,0,gptq,4,16,int,1,adversarial,published_fewshot,calib=random_tokens group=128 per_tensor=False
local/Qwen2.5-1.5B-Instruct-w4a16_wrongdomain-5shot,Qwen2.5-1.5B-Instruct,w4a16,w4a16_wrongdomain,1.5,mmlu,59.5667,52.8333,3000,0.222,0,gptq,4,16,int,1,adversarial,published_fewshot,calib=wrong_domain group=128 per_tensor=False
local/Qwen2.5-1.5B-Instruct-w4a16_pertensor-5shot,Qwen2.5-1.5B-Instruct,w4a16,w4a16_pertensor,1.5,mmlu,59.5667,24.8,3000,0.5463,0,rtn,4,16,int,1,adversarial,published_fewshot,calib=good group=0 per_tensor=True
local/Qwen2.5-1.5B-Instruct-w8a8_nosmooth-5shot,Qwen2.5-1.5B-Instruct,w8a8_int,w8a8_nosmooth,1.5,mmlu,59.5667,58.6333,3000,0.0627,0,rtn,8,8,int,1,adversarial,published_fewshot,calib=good group=0 per_tensor=True
local/SmolLM-135M-Instruct-control_w4a16_good-5shot,SmolLM-135M-Instruct,w4a16,control_w4a16_good,0.135,mmlu,25.5667,28.2333,3000,0.326,1,gptq,4,16,int,1,adversarial,published_fewshot,calib=good group=128 per_tensor=False
local/SmolLM-135M-Instruct-w4a16_randcalib-5shot,SmolLM-135M-Instruct,w4a16,w4a16_randcalib,0.135,mmlu,25.5667,24.3667,3000,0.3893,0,gptq,4,16,int,1,adversarial,published_fewshot,calib=random_tokens group=128 per_tensor=False
local/SmolLM-135M-Instruct-w4a16_wrongdomain-5shot,SmolLM-135M-Instruct,w4a16,w4a16_wrongdomain,0.135,mmlu,25.5667,23.7,3000,0.3,0,gptq,4,16,int,1,adversarial,published_fewshot,calib=wrong_domain group=128 per_tensor=False
local/SmolLM-135M-Instruct-w4a16_pertensor-5shot,SmolLM-135M-Instruct,w4a16,w4a16_pertensor,0.135,mmlu,25.5667,23.7,3000,0.4033,0,rtn,4,16,int,1,adversarial,published_fewshot,calib=good group=0 per_tensor=True
local/SmolLM-135M-Instruct-w8a8_nosmooth-5shot,SmolLM-135M-Instruct,w8a8_int,w8a8_nosmooth,0.135,mmlu,25.5667,25.7667,3000,0.1,0,rtn,8,8,int,1,adversarial,published_fewshot,calib=good group=0 per_tensor=True
