model,base_model,scheme,recipe,params_b,benchmark,acc_before,acc_after,n_items,flip_rate,is_control,method,weight_bits,act_bits,num_type,is_instruct,family,notes,delta,ctrl_delta,excess
local/Qwen2.5-0.5B-Instruct-w4a16_randcalib,Qwen2.5-0.5B-Instruct,w4a16,w4a16_randcalib,0.5,arc_challenge,31.57,26.4505,1172,0.2509,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False,-5.119499999999999,-0.8533000000000008,-4.266199999999998
local/Qwen2.5-0.5B-Instruct-w4a16_randcalib,Qwen2.5-0.5B-Instruct,w4a16,w4a16_randcalib,0.5,hellaswag,50.7,33.9333,3000,0.2823,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False,-16.7667,-4.166700000000006,-12.599999999999994
local/Qwen2.5-0.5B-Instruct-w4a16_randcalib,Qwen2.5-0.5B-Instruct,w4a16,w4a16_randcalib,0.5,mmlu,31.9333,28.9333,3000,0.2027,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False,-3.0,-1.0665999999999976,-1.9334000000000024
local/Qwen2.5-0.5B-Instruct-w4a16_wrongdomain,Qwen2.5-0.5B-Instruct,w4a16,w4a16_wrongdomain,0.5,arc_challenge,31.57,29.7782,1172,0.1544,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False,-1.791800000000002,-0.8533000000000008,-0.9385000000000012
local/Qwen2.5-0.5B-Instruct-w4a16_wrongdomain,Qwen2.5-0.5B-Instruct,w4a16,w4a16_wrongdomain,0.5,hellaswag,50.7,42.8,3000,0.157,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False,-7.900000000000006,-4.166700000000006,-3.7333
local/Qwen2.5-0.5B-Instruct-w4a16_wrongdomain,Qwen2.5-0.5B-Instruct,w4a16,w4a16_wrongdomain,0.5,mmlu,31.9333,29.4667,3000,0.1533,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False,-2.4665999999999997,-1.0665999999999976,-1.4000000000000021
local/Qwen2.5-0.5B-Instruct-w4a16_pertensor,Qwen2.5-0.5B-Instruct,w4a16,w4a16_pertensor,0.5,arc_challenge,31.57,24.4027,1172,0.4096,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True,-7.167300000000001,-0.8533000000000008,-6.314
local/Qwen2.5-0.5B-Instruct-w4a16_pertensor,Qwen2.5-0.5B-Instruct,w4a16,w4a16_pertensor,0.5,hellaswag,50.7,25.7667,3000,0.508,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True,-24.933300000000003,-4.166700000000006,-20.766599999999997
local/Qwen2.5-0.5B-Instruct-w4a16_pertensor,Qwen2.5-0.5B-Instruct,w4a16,w4a16_pertensor,0.5,mmlu,31.9333,24.9333,3000,0.4073,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True,-7.0,-1.0665999999999976,-5.9334000000000024
local/Qwen2.5-0.5B-Instruct-w8a8_nosmooth,Qwen2.5-0.5B-Instruct,w8a8_int,w8a8_nosmooth,0.5,arc_challenge,31.57,31.6553,1172,0.0606,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True,0.08530000000000015,-0.8533000000000008,0.938600000000001
local/Qwen2.5-0.5B-Instruct-w8a8_nosmooth,Qwen2.5-0.5B-Instruct,w8a8_int,w8a8_nosmooth,0.5,hellaswag,50.7,49.9667,3000,0.05,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True,-0.7332999999999998,-4.166700000000006,3.433400000000006
local/Qwen2.5-0.5B-Instruct-w8a8_nosmooth,Qwen2.5-0.5B-Instruct,w8a8_int,w8a8_nosmooth,0.5,mmlu,31.9333,31.4333,3000,0.0497,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True,-0.5,-1.0665999999999976,0.5665999999999976
local/SmolLM-135M-Instruct-w4a16_randcalib,SmolLM-135M-Instruct,w4a16,w4a16_randcalib,0.135,arc_challenge,30.0341,29.2662,1172,0.1288,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False,-0.7678999999999974,-1.7917999999999985,1.0239000000000011
local/SmolLM-135M-Instruct-w4a16_randcalib,SmolLM-135M-Instruct,w4a16,w4a16_randcalib,0.135,hellaswag,39.6333,37.8333,3000,0.126,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False,-1.7999999999999972,-1.566600000000001,-0.23339999999999606
local/SmolLM-135M-Instruct-w4a16_randcalib,SmolLM-135M-Instruct,w4a16,w4a16_randcalib,0.135,mmlu,29.7333,28.2333,3000,0.1197,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False,-1.5,-1.1000000000000014,-0.3999999999999986
local/SmolLM-135M-Instruct-w4a16_wrongdomain,SmolLM-135M-Instruct,w4a16,w4a16_wrongdomain,0.135,arc_challenge,30.0341,27.901,1172,0.1305,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False,-2.133099999999999,-1.7917999999999985,-0.3413000000000004
local/SmolLM-135M-Instruct-w4a16_wrongdomain,SmolLM-135M-Instruct,w4a16,w4a16_wrongdomain,0.135,hellaswag,39.6333,37.8667,3000,0.1143,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False,-1.7665999999999968,-1.566600000000001,-0.19999999999999574
local/SmolLM-135M-Instruct-w4a16_wrongdomain,SmolLM-135M-Instruct,w4a16,w4a16_wrongdomain,0.135,mmlu,29.7333,28.4,3000,0.1153,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False,-1.3333000000000013,-1.1000000000000014,-0.23329999999999984
local/SmolLM-135M-Instruct-w4a16_pertensor,SmolLM-135M-Instruct,w4a16,w4a16_pertensor,0.135,arc_challenge,30.0341,25.9386,1172,0.4044,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True,-4.095499999999998,-1.7917999999999985,-2.303699999999999
local/SmolLM-135M-Instruct-w4a16_pertensor,SmolLM-135M-Instruct,w4a16,w4a16_pertensor,0.135,hellaswag,39.6333,25.4667,3000,0.4297,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True,-14.166599999999999,-1.566600000000001,-12.599999999999998
local/SmolLM-135M-Instruct-w4a16_pertensor,SmolLM-135M-Instruct,w4a16,w4a16_pertensor,0.135,mmlu,29.7333,26.2,3000,0.3767,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True,-3.5333000000000006,-1.1000000000000014,-2.433299999999999
local/SmolLM-135M-Instruct-w8a8_nosmooth,SmolLM-135M-Instruct,w8a8_int,w8a8_nosmooth,0.135,arc_challenge,30.0341,29.0956,1172,0.0435,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True,-0.9384999999999977,-1.7917999999999985,0.8533000000000008
local/SmolLM-135M-Instruct-w8a8_nosmooth,SmolLM-135M-Instruct,w8a8_int,w8a8_nosmooth,0.135,hellaswag,39.6333,39.7667,3000,0.0347,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True,0.13340000000000174,-1.566600000000001,1.7000000000000028
local/SmolLM-135M-Instruct-w8a8_nosmooth,SmolLM-135M-Instruct,w8a8_int,w8a8_nosmooth,0.135,mmlu,29.7333,29.3333,3000,0.0387,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True,-0.3999999999999986,-1.1000000000000014,0.7000000000000028
local/Qwen2.5-0.5B-Instruct-control_w4a16_good,Qwen2.5-0.5B-Instruct,w4a16,control_w4a16_good,0.5,arc_challenge,31.57,30.7167,1172,0.1314,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False,-0.8533000000000008,-0.8533000000000008,0.0
local/Qwen2.5-0.5B-Instruct-control_w4a16_good,Qwen2.5-0.5B-Instruct,w4a16,control_w4a16_good,0.5,hellaswag,50.7,46.5333,3000,0.1117,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False,-4.166700000000006,-4.166700000000006,0.0
local/Qwen2.5-0.5B-Instruct-control_w4a16_good,Qwen2.5-0.5B-Instruct,w4a16,control_w4a16_good,0.5,mmlu,31.9333,30.8667,3000,0.1213,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False,-1.0665999999999976,-1.0665999999999976,0.0
