model,base_model,family,params_b,is_instruct,scheme,weight_bits,act_bits,num_type,method,benchmark,n_items,acc_before,acc_after,delta,orient_src,verified
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,Llama-3.2-1B-Instruct,llama-3.2,1.0,1,fp8_dynamic,8,8,fp,rtn,mmlu,14042,47.66,47.55,-0.11,arith,1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,Llama-3.2-1B-Instruct,llama-3.2,1.0,1,fp8_dynamic,8,8,fp,rtn,mmlu_cot,14042,47.1,46.79,-0.31,arith,1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,Llama-3.2-1B-Instruct,llama-3.2,1.0,1,fp8_dynamic,8,8,fp,rtn,arc_challenge,1172,58.36,57.25,-1.11,arith,1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,Llama-3.2-1B-Instruct,llama-3.2,1.0,1,fp8_dynamic,8,8,fp,rtn,gsm8k,1319,45.72,45.94,0.22,arith,1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,Llama-3.2-1B-Instruct,llama-3.2,1.0,1,fp8_dynamic,8,8,fp,rtn,winogrande,1267,62.27,61.4,-0.87,arith,1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,Llama-3.2-1B-Instruct,llama-3.2,1.0,1,fp8_dynamic,8,8,fp,rtn,hellaswag,10042,61.01,60.95,-0.06,arith,1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,Llama-3.2-1B-Instruct,llama-3.2,1.0,1,fp8_dynamic,8,8,fp,rtn,truthfulqa,817,43.52,44.23,0.71,arith,1
RedHatAI/Llama-3.2-1B-Instruct-FP8,Llama-3.2-1B-Instruct,llama-3.2,1.0,1,fp8,8,8,fp,rtn,mmlu,14042,47.66,47.76,0.1,arith,1
RedHatAI/Llama-3.2-1B-Instruct-FP8,Llama-3.2-1B-Instruct,llama-3.2,1.0,1,fp8,8,8,fp,rtn,arc_challenge,1172,58.36,57.85,-0.51,arith,1
RedHatAI/Llama-3.2-1B-Instruct-FP8,Llama-3.2-1B-Instruct,llama-3.2,1.0,1,fp8,8,8,fp,rtn,gsm8k,1319,45.72,45.49,-0.23,arith,1
