model,base_model,family,params_b,moe,is_instruct,scheme,weight_bits,act_bits,num_type,method,benchmark,n_items,acc_before,acc_after,delta,orient_src,verified
RedHatAI/Qwen3.5-122B-A10B-FP8-dynamic,Qwen3.5-122B-A10B,qwen3.5,122.0,1,0,fp8_dynamic,8,8,fp,rtn,gsm8k,1319,95.59,95.7,0.11,arith,1
RedHatAI/Qwen3.5-122B-A10B-FP8-dynamic,Qwen3.5-122B-A10B,qwen3.5,122.0,1,0,fp8_dynamic,8,8,fp,rtn,mmlu_pro,12032,86.96,86.96,0.0,arith,1
RedHatAI/Qwen3.5-122B-A10B-FP8-dynamic,Qwen3.5-122B-A10B,qwen3.5,122.0,1,0,fp8_dynamic,8,8,fp,rtn,gpqa,448,87.37,86.03,-1.34,arith,1
RedHatAI/Qwen3.5-122B-A10B-FP8-dynamic,Qwen3.5-122B-A10B,qwen3.5,122.0,1,0,fp8_dynamic,8,8,fp,rtn,ifeval,541,93.8,93.69,-0.11,arith,1
RedHatAI/Qwen3.5-122B-A10B-NVFP4,Qwen3.5-122B-A10B,qwen3.5,122.0,1,0,nvfp4,4,4,fp,rtn,gsm8k,1319,95.59,95.37,-0.22,arith,1
RedHatAI/Qwen3.5-122B-A10B-NVFP4,Qwen3.5-122B-A10B,qwen3.5,122.0,1,0,nvfp4,4,4,fp,rtn,mmlu_pro,12032,86.96,86.62,-0.34,arith,1
RedHatAI/Qwen3.5-122B-A10B-NVFP4,Qwen3.5-122B-A10B,qwen3.5,122.0,1,0,nvfp4,4,4,fp,rtn,ifeval,541,93.8,93.32,-0.48,arith,1
RedHatAI/Qwen3.5-122B-A10B-NVFP4,Qwen3.5-122B-A10B,qwen3.5,122.0,1,0,nvfp4,4,4,fp,rtn,gpqa,448,87.54,86.7,-0.84,arith,1
RedHatAI/Qwen3.5-35B-A3B-FP8-dynamic,Qwen3.5-35B-A3B,qwen3.5,35.0,1,0,fp8_dynamic,8,8,fp,rtn,gsm8k,1319,94.98,95.12,0.14,arith,1
RedHatAI/Qwen3.5-35B-A3B-FP8-dynamic,Qwen3.5-35B-A3B,qwen3.5,35.0,1,0,fp8_dynamic,8,8,fp,rtn,mmlu_pro,12032,85.65,85.65,0.0,arith,1
RedHatAI/Qwen3.5-35B-A3B-FP8-dynamic,Qwen3.5-35B-A3B,qwen3.5,35.0,1,0,fp8_dynamic,8,8,fp,rtn,gpqa,448,83.0,83.16,0.16,arith,1
RedHatAI/Qwen3.5-35B-A3B-FP8-dynamic,Qwen3.5-35B-A3B,qwen3.5,35.0,1,0,fp8_dynamic,8,8,fp,rtn,ifeval,541,91.0,90.45,-0.55,arith,1
RedHatAI/Qwen3.5-397B-A17B-FP8-dynamic,Qwen3.5-397B-A17B,qwen3.5,397.0,1,0,fp8_dynamic,8,8,fp,rtn,gsm8k,1319,95.37,95.53,0.16,arith,1
RedHatAI/Qwen3.5-397B-A17B-FP8-dynamic,Qwen3.5-397B-A17B,qwen3.5,397.0,1,0,fp8_dynamic,8,8,fp,rtn,mmlu_pro,12032,88.27,88.33,0.06,arith,1
RedHatAI/Qwen3.5-397B-A17B-FP8-dynamic,Qwen3.5-397B-A17B,qwen3.5,397.0,1,0,fp8_dynamic,8,8,fp,rtn,gpqa,448,89.73,88.72,-1.01,arith,1
RedHatAI/Qwen3.5-397B-A17B-FP8-dynamic,Qwen3.5-397B-A17B,qwen3.5,397.0,1,0,fp8_dynamic,8,8,fp,rtn,ifeval,541,90.63,90.7,0.07,arith,1
RedHatAI/Qwen3.5-4B-FP8-dynamic,Qwen3.5-4B,qwen3.5,4.0,0,0,fp8_dynamic,8,8,fp,rtn,gsm8k,1319,94.2,94.5,0.3,arith,1
RedHatAI/Qwen3.5-4B-FP8-dynamic,Qwen3.5-4B,qwen3.5,4.0,0,0,fp8_dynamic,8,8,fp,rtn,mmlu_pro,12032,79.3,79.1,-0.2,arith,1
RedHatAI/Qwen3.5-4B-FP8-dynamic,Qwen3.5-4B,qwen3.5,4.0,0,0,fp8_dynamic,8,8,fp,rtn,ifeval,541,88.0,88.4,0.4,arith,1
RedHatAI/Qwen3.5-4B-FP8-dynamic,Qwen3.5-4B,qwen3.5,4.0,0,0,fp8_dynamic,8,8,fp,rtn,gpqa,448,76.8,76.3,-0.5,arith,1
RedHatAI/Qwen3.5-4B-quantized.w4a16,Qwen3.5-4B,qwen3.5,4.0,0,0,w4a16,4,16,int,unknown,gsm8k,1319,94.5,94.5,0.0,arith,1
RedHatAI/Qwen3.5-4B-quantized.w4a16,Qwen3.5-4B,qwen3.5,4.0,0,0,w4a16,4,16,int,unknown,mmlu_pro,12032,79.3,77.5,-1.8,arith,1
RedHatAI/Qwen3.5-4B-quantized.w4a16,Qwen3.5-4B,qwen3.5,4.0,0,0,w4a16,4,16,int,unknown,ifeval,541,88.3,86.1,-2.2,arith,1
RedHatAI/Qwen3.5-4B-quantized.w4a16,Qwen3.5-4B,qwen3.5,4.0,0,0,w4a16,4,16,int,unknown,gpqa,448,79.6,73.1,-6.5,arith,1
RedHatAI/Qwen3.5-4B-quantized.w8a8,Qwen3.5-4B,qwen3.5,4.0,0,0,w8a8_int,8,8,int,unknown,gsm8k,1319,94.5,94.2,-0.3,arith,1
RedHatAI/Qwen3.5-4B-quantized.w8a8,Qwen3.5-4B,qwen3.5,4.0,0,0,w8a8_int,8,8,int,unknown,mmlu_pro,12032,79.3,79.0,-0.3,arith,1
RedHatAI/Qwen3.5-4B-quantized.w8a8,Qwen3.5-4B,qwen3.5,4.0,0,0,w8a8_int,8,8,int,unknown,ifeval,541,88.3,87.7,-0.6,arith,1
RedHatAI/Qwen3.5-4B-quantized.w8a8,Qwen3.5-4B,qwen3.5,4.0,0,0,w8a8_int,8,8,int,unknown,gpqa,448,79.6,78.5,-1.1,arith,1
RedHatAI/Qwen3.5-9B-FP8-dynamic,Qwen3.5-9B,qwen3.5,9.0,0,0,fp8_dynamic,8,8,fp,rtn,gsm8k,1319,94.7,94.5,-0.2,arith,1
RedHatAI/Qwen3.5-9B-FP8-dynamic,Qwen3.5-9B,qwen3.5,9.0,0,0,fp8_dynamic,8,8,fp,rtn,mmlu_pro,12032,82.5,82.4,-0.1,arith,1
RedHatAI/Qwen3.5-9B-FP8-dynamic,Qwen3.5-9B,qwen3.5,9.0,0,0,fp8_dynamic,8,8,fp,rtn,ifeval,541,90.3,88.9,-1.4,arith,1
RedHatAI/Qwen3.5-9B-FP8-dynamic,Qwen3.5-9B,qwen3.5,9.0,0,0,fp8_dynamic,8,8,fp,rtn,gpqa,448,84.0,83.8,-0.2,arith,1
RedHatAI/Qwen3.5-9B-quantized.w4a16,Qwen3.5-9B,qwen3.5,9.0,0,0,w4a16,4,16,int,unknown,gsm8k,1319,94.4,94.6,0.2,arith,1
RedHatAI/Qwen3.5-9B-quantized.w4a16,Qwen3.5-9B,qwen3.5,9.0,0,0,w4a16,4,16,int,unknown,mmlu_pro,12032,82.4,81.7,-0.7,arith,1
RedHatAI/Qwen3.5-9B-quantized.w4a16,Qwen3.5-9B,qwen3.5,9.0,0,0,w4a16,4,16,int,unknown,ifeval,541,89.5,87.7,-1.8,arith,1
RedHatAI/Qwen3.5-9B-quantized.w4a16,Qwen3.5-9B,qwen3.5,9.0,0,0,w4a16,4,16,int,unknown,gpqa,448,82.2,77.9,-4.3,arith,1
RedHatAI/Qwen3.5-9B-quantized.w8a8,Qwen3.5-9B,qwen3.5,9.0,0,0,w8a8_int,8,8,int,unknown,gsm8k,1319,94.4,94.3,-0.1,arith,1
RedHatAI/Qwen3.5-9B-quantized.w8a8,Qwen3.5-9B,qwen3.5,9.0,0,0,w8a8_int,8,8,int,unknown,mmlu_pro,12032,82.4,82.0,-0.4,arith,1
RedHatAI/Qwen3.5-9B-quantized.w8a8,Qwen3.5-9B,qwen3.5,9.0,0,0,w8a8_int,8,8,int,unknown,ifeval,541,89.5,89.6,0.1,arith,1
RedHatAI/Qwen3.5-9B-quantized.w8a8,Qwen3.5-9B,qwen3.5,9.0,0,0,w8a8_int,8,8,int,unknown,gpqa,448,82.2,82.3,0.1,arith,1
