model,benchmark,reason
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Llama-3.2-1B-Instruct-FP8,Average,aggregate_row_ignored
RedHatAI/Llama-3.2-1B-Instruct-FP8,mmlu_cot,recovery_mismatch
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Llama-3.2-3B-Instruct-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Llama-3.2-3B-Instruct-FP8,Average,aggregate_row_ignored
RedHatAI/Llama-3.2-3B-Instruct-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Llama-3.2-3B-Instruct-quantized.w8a8,truthfulqa,recovery_mismatch
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Portuguese MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Spanish MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Italian MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,German MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,French MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Hindi MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Thai MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,mmlu_llama,benchmark_not_whitelisted
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,mmlu_cot_llama (0-shot),benchmark_not_whitelisted
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,Average,aggregate_row_ignored
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,Average,aggregate_row_ignored
RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Portuguese MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Spanish MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Italian MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,German MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,French MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Hindi MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Thai MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,mmlu_pro,recovery_mismatch
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,ifeval,recovery_mismatch
RedHatAI/Meta-Llama-3.1-405B-FP8,,benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a16,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a16,gsm8k,recovery_mismatch
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-70B-FP8,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a16,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-8B-FP8,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Portuguese MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Spanish MMLU (5-shot),benchmark_not_whitelisted
