model,group,scheme,benchmark,acc_before,acc_after,delta,pred,lo,hi,inside_90
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,deepseek-r1-distill,w4a16,ifeval,43.05,34.9,-8.15,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False
RedHatAI/Qwen3-30B-A3B-quantized.w4a16,qwen3-30b-a3b,w4a16,bbh,34.81,28.12,-6.69,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False
RedHatAI/gemma-3-27b-it-quantized.w8a8,gemma-3,w8a8_int,gsm8k,92.12,85.75,-6.37,-0.3202577319587629,-1.71,1.069484536082474,False
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,deepseek-r1-distill,w4a16,bbh,21.26,16.96,-4.3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False
RedHatAI/gemma-3-4b-it-quantized.w4a16,gemma-3,w4a16,gsm8k,76.12,72.33,-3.79,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,deepseek-r1-distill,w4a16,mmlu,55.65,52.11,-3.54,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False
RedHatAI/gemma-3-1b-it-quantized.w4a16,gemma-3,w4a16,gsm8k,25.17,22.14,-3.03,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False
RedHatAI/gemma-3-1b-it-quantized.w4a16,gemma-3,w4a16,mmlu,39.99,37.0,-2.99,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False
RedHatAI/gemma-3-1b-it-quantized.w4a16,gemma-3,w4a16,arc_challenge,36.86,33.96,-2.9,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False
RedHatAI/DeepSeek-R1-Distill-Qwen-7B-quantized.w8a8,deepseek-r1-distill,w8a8_int,gsm8k,78.62,79.83,1.21,-0.3202577319587629,-1.71,1.069484536082474,False
RedHatAI/gemma-3-1b-it-quantized.w4a16,gemma-3,w4a16,truthfulqa,38.54,39.94,1.4,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False
RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-quantized.w4a16,deepseek-r1-distill,w4a16,truthfulqa,45.21,46.68,1.47,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False
RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16,deepseek-r1-distill,w4a16,gsm8k,82.71,84.38,1.67,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False
RedHatAI/Llama-3.1-Nemotron-70B-Instruct-HF-quantized.w4a16,nemotron,w4a16,math_lvl5,23.21,25.69,2.48,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,deepseek-r1-distill,w8a8_int,humaneval_plus,44.1,46.7,2.6,-0.3202577319587629,-1.71,1.069484536082474,False
RedHatAI/Llama-3.1-Nemotron-70B-Instruct-HF-quantized.w4a16,nemotron,w4a16,gsm8k,82.94,86.88,3.94,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False
RedHatAI/Qwen3-30B-A3B-quantized.w4a16,qwen3-30b-a3b,w4a16,math_lvl5,52.14,56.99,4.85,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False
RedHatAI/Qwen3-30B-A3B-FP8-dynamic,qwen3-30b-a3b,fp8_dynamic,math_lvl5,52.14,59.39,7.25,-0.047700000000000006,-1.44,1.3445999999999998,False
RedHatAI/gemma-3-12b-it-quantized.w4a16,gemma-3,w4a16,gsm8k,88.1,85.52,-2.58,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Qwen3-30B-A3B-quantized.w4a16,qwen3-30b-a3b,w4a16,winogrande,66.77,64.33,-2.44,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-1b-it-quantized.w4a16,gemma-3,w4a16,hellaswag,56.03,53.62,-2.41,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Llama-3.1-Nemotron-70B-Instruct-HF-quantized.w4a16,nemotron,w4a16,ifeval,74.3,72.02,-2.28,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-quantized.w4a16,deepseek-r1-distill,w4a16,gpqa,35.37,33.16,-2.21,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,deepseek-r1-distill,w4a16,humaneval_plus,75.2,73.0,-2.2,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-quantized.w4a16,deepseek-r1-distill,w4a16,humaneval,37.9,35.7,-2.2,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,deepseek-r1-distill,w4a16,gpqa,49.27,47.11,-2.16,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,deepseek-r1-distill,w4a16,hellaswag,76.78,74.62,-2.16,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,deepseek-r1-distill,w4a16,arc_challenge,45.05,42.92,-2.13,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-12b-it-quantized.w4a16,gemma-3,w4a16,arc_challenge,68.43,66.3,-2.13,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Qwen3-30B-A3B-quantized.w4a16,qwen3-30b-a3b,w4a16,mmlu_pro,47.45,45.38,-2.07,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-4b-it-quantized.w4a16,gemma-3,w4a16,mmlu,58.38,56.33,-2.05,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,deepseek-r1-distill,w4a16,truthfulqa,50.55,48.57,-1.98,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-quantized.w4a16,deepseek-r1-distill,w4a16,gsm8k,69.98,68.01,-1.97,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,deepseek-r1-distill,w4a16,gpqa,59.35,57.48,-1.87,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,deepseek-r1-distill,w4a16,bbh,47.16,45.36,-1.8,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-27b-it-quantized.w8a8,gemma-3,w8a8_int,arc_challenge,72.53,70.82,-1.71,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/gemma-3-4b-it-quantized.w4a16,gemma-3,w4a16,hellaswag,74.96,73.35,-1.61,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Qwen3-30B-A3B-quantized.w4a16,qwen3-30b-a3b,w4a16,mmlu,77.67,76.11,-1.56,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,deepseek-r1-distill,w4a16,gpqa,65.57,64.04,-1.53,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Qwen3-30B-A3B-quantized.w4a16,qwen3-30b-a3b,w4a16,truthfulqa,56.27,54.76,-1.51,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-12b-it-quantized.w4a16,gemma-3,w4a16,hellaswag,83.76,82.27,-1.49,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-quantized.w4a16,deepseek-r1-distill,w4a16,hellaswag,43.86,42.38,-1.48,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16,deepseek-r1-distill,w4a16,humaneval_plus,82.0,80.6,-1.4,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Qwen3-30B-A3B-quantized.w4a16,qwen3-30b-a3b,w4a16,ifeval,86.26,84.86,-1.4,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16,deepseek-r1-distill,w4a16,mmlu_pro,49.82,48.43,-1.39,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
