set,model,fate,rows_kept
training,RedHatAI/Llama-3.2-1B-FP8,gate1_empty_or_missing_card,0
training,RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,KEPT,7
training,RedHatAI/Llama-3.2-1B-Instruct-FP8,KEPT,6
training,RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,KEPT,7
training,RedHatAI/Llama-3.2-1B-quantized.w8a8,gate1_empty_or_missing_card,0
training,RedHatAI/Llama-3.2-3B-Instruct-FP8-dynamic,KEPT,7
training,RedHatAI/Llama-3.2-3B-Instruct-FP8,KEPT,7
training,RedHatAI/Llama-3.2-3B-Instruct-quantized.w8a8,KEPT,6
training,RedHatAI/Llama-3.2-3B-quantized.w8a8,gate1_empty_or_missing_card,0
training,RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,KEPT,14
training,RedHatAI/Llama-3.3-70B-Instruct-NVFP4,KEPT,12
training,RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,KEPT,9
training,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,KEPT,12
training,RedHatAI/Meta-Llama-3.1-405B-FP8,KEPT,5
training,RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,KEPT,16
training,RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8,KEPT,7
training,RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,KEPT,15
training,RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a16,KEPT,6
training,RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,KEPT,15
training,RedHatAI/Meta-Llama-3.1-70B-FP8,KEPT,6
training,RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,KEPT,16
training,RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8,KEPT,7
training,RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,KEPT,16
training,RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a16,KEPT,7
training,RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,KEPT,16
training,RedHatAI/Meta-Llama-3.1-70B-quantized.w8a16,gate1_empty_or_missing_card,0
training,RedHatAI/Meta-Llama-3.1-70B-quantized.w8a8,gate1_empty_or_missing_card,0
training,RedHatAI/Meta-Llama-3.1-8B-FP8,KEPT,6
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,KEPT,16
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,KEPT,7
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,KEPT,15
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,KEPT,3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,KEPT,16
training,RedHatAI/Meta-Llama-3.1-8B-quantized.w8a16,KEPT,6
training,RedHatAI/Meta-Llama-3.1-8B-quantized.w8a8,KEPT,6
training,RedHatAI/Mistral-7B-Instruct-v0.3-FP8,KEPT,6
training,RedHatAI/Mistral-7B-Instruct-v0.3-quantized.w4a16,KEPT,6
training,RedHatAI/Mistral-7B-Instruct-v0.3-quantized.w8a16,KEPT,6
training,RedHatAI/Mistral-7B-Instruct-v0.3-quantized.w8a8,gate1_empty_or_missing_card,0
training,RedHatAI/Mistral-Small-24B-Instruct-2501-FP8-dynamic,KEPT,12
training,RedHatAI/Mistral-Small-24B-Instruct-2501-quantized.w4a16,KEPT,11
training,RedHatAI/Mistral-Small-24B-Instruct-2501-quantized.w8a8,KEPT,6
training,RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-FP8-dynamic,KEPT,10
training,RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w4a16,KEPT,10
training,RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,KEPT,9
training,RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,gate6_no_benchmark_rows_survived,0
training,RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-NVFP4,KEPT,13
training,RedHatAI/Mistral-Small-4-119B-2603-NVFP4,gate6_no_benchmark_rows_survived,0
training,RedHatAI/Mixtral-8x22B-Instruct-v0.1-FP8,KEPT,6
training,RedHatAI/Mixtral-8x22B-v0.1-quantized.w4a16,KEPT,6
training,RedHatAI/Mixtral-8x7B-Instruct-v0.1-FP8,KEPT,6
training,RedHatAI/Mixtral-8x7B-v0.1-quantized.w4a16,KEPT,6
training,RedHatAI/Phi-3-medium-128k-instruct-FP8,gate3_no_param_count_in_name,0
training,RedHatAI/Phi-3-medium-128k-instruct-quantized.w4a16,gate3_no_param_count_in_name,0
training,RedHatAI/Phi-3-medium-128k-instruct-quantized.w8a16,gate3_no_param_count_in_name,0
training,RedHatAI/Phi-3-medium-128k-instruct-quantized.w8a8,gate3_no_param_count_in_name,0
training,RedHatAI/Phi-3-mini-128k-instruct-FP8,gate3_no_param_count_in_name,0
training,RedHatAI/Phi-3-mini-128k-instruct-quantized.w4a16,gate3_no_param_count_in_name,0
training,RedHatAI/Phi-3-mini-128k-instruct-quantized.w8a16,gate3_no_param_count_in_name,0
training,RedHatAI/Phi-3-mini-128k-instruct-quantized.w8a8,gate3_no_param_count_in_name,0
training,RedHatAI/Phi-3-small-128k-instruct-quantized.w8a16,gate3_no_param_count_in_name,0
training,RedHatAI/Qwen2.5-0.5B-FP8-dynamic,KEPT,6
training,RedHatAI/Qwen2.5-0.5B-Instruct-FP8-dynamic,gate1_empty_or_missing_card,0
training,RedHatAI/Qwen2.5-0.5B-Instruct-quantized.w8a16,gate1_empty_or_missing_card,0
training,RedHatAI/Qwen2.5-0.5B-Instruct-quantized.w8a8,KEPT,11
training,RedHatAI/Qwen2.5-0.5B-quantized.w4a16,KEPT,5
training,RedHatAI/Qwen2.5-0.5B-quantized.w8a16,KEPT,6
training,RedHatAI/Qwen2.5-0.5B-quantized.w8a8,KEPT,6
training,RedHatAI/Qwen2.5-1.5B-FP8-dynamic,KEPT,6
training,RedHatAI/Qwen2.5-1.5B-Instruct-FP8-dynamic,gate1_empty_or_missing_card,0
training,RedHatAI/Qwen2.5-1.5B-Instruct-quantized.w8a16,gate1_empty_or_missing_card,0
training,RedHatAI/Qwen2.5-1.5B-Instruct-quantized.w8a8,gate1_empty_or_missing_card,0
training,RedHatAI/Qwen2.5-1.5B-quantized.w4a16,KEPT,6
training,RedHatAI/Qwen2.5-1.5B-quantized.w8a16,KEPT,6
training,RedHatAI/Qwen2.5-1.5B-quantized.w8a8,KEPT,6
training,RedHatAI/Qwen2.5-14B-FP8-dynamic,KEPT,6
training,RedHatAI/Qwen2.5-14B-Instruct-FP8-dynamic,gate1_empty_or_missing_card,0
training,RedHatAI/Qwen2.5-14B-Instruct-quantized.w8a8,KEPT,6
training,RedHatAI/Qwen2.5-14B-quantized.w8a8,KEPT,6
training,RedHatAI/Qwen2.5-32B-FP8-dynamic,gate1_empty_or_missing_card,0
training,RedHatAI/Qwen2.5-32B-Instruct-FP8-dynamic,gate1_empty_or_missing_card,0
training,RedHatAI/Qwen2.5-32B-Instruct-quantized.w4a16,gate1_empty_or_missing_card,0
training,RedHatAI/Qwen2.5-32B-Instruct-quantized.w8a16,gate1_empty_or_missing_card,0
training,RedHatAI/Qwen2.5-32B-Instruct-quantized.w8a8,gate1_empty_or_missing_card,0
training,RedHatAI/Qwen2.5-32B-quantized.w4a16,gate1_empty_or_missing_card,0
training,RedHatAI/Qwen2.5-32B-quantized.w8a16,KEPT,6
training,RedHatAI/Qwen2.5-32B-quantized.w8a8,gate1_empty_or_missing_card,0
training,RedHatAI/Qwen2.5-3B-FP8-dynamic,KEPT,6
