set,model,reason,label,n_nums
training,RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Llama-3.2-1B-Instruct-FP8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Llama-3.2-3B-Instruct-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Llama-3.2-3B-Instruct-FP8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Llama-3.2-3B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,benchmark_not_whitelisted,Portuguese MMLU (5-shot),3
training,RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,benchmark_not_whitelisted,Spanish MMLU (5-shot),3
training,RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,benchmark_not_whitelisted,Italian MMLU (5-shot),3
training,RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,benchmark_not_whitelisted,German MMLU (5-shot),3
training,RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,benchmark_not_whitelisted,French MMLU (5-shot),3
training,RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,benchmark_not_whitelisted,Hindi MMLU (5-shot),3
training,RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,benchmark_not_whitelisted,Thai MMLU (5-shot),3
training,RedHatAI/Llama-3.3-70B-Instruct-NVFP4,benchmark_not_whitelisted,mmlu_llama,3
training,RedHatAI/Llama-3.3-70B-Instruct-NVFP4,benchmark_not_whitelisted,mmlu_cot_llama (0-shot),3
training,RedHatAI/Llama-3.3-70B-Instruct-NVFP4,benchmark_not_whitelisted,Average,3
training,RedHatAI/Llama-3.3-70B-Instruct-NVFP4,benchmark_not_whitelisted,Average,3
training,RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Portuguese MMLU (5-shot),3
training,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Spanish MMLU (5-shot),3
training,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Italian MMLU (5-shot),3
training,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,benchmark_not_whitelisted,German MMLU (5-shot),3
training,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,benchmark_not_whitelisted,French MMLU (5-shot),3
training,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Hindi MMLU (5-shot),3
training,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Thai MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-405B-FP8,benchmark_not_whitelisted,,2
training,RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-70B-FP8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-8B-FP8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,benchmark_not_whitelisted,Average,3
