model,family,base_model,scheme,benchmark,acc_before,acc_after,y,yhat,lo,hi,backoff,covered,fold
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,mmlu,47.66,47.55,-0.11,-0.2103623188405797,-2.5011315496098105,2.0804069119286512,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,mmlu_cot,47.1,46.79,-0.31,-0.2103623188405797,-2.5011315496098105,2.0804069119286512,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,arc_challenge,58.36,57.25,-1.11,-0.2103623188405797,-2.5011315496098105,2.0804069119286512,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,gsm8k,45.72,45.94,0.22,-0.2103623188405797,-2.5011315496098105,2.0804069119286512,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,winogrande,62.27,61.4,-0.87,-0.2103623188405797,-2.5011315496098105,2.0804069119286512,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,hellaswag,61.01,60.95,-0.06,-0.2103623188405797,-2.5011315496098105,2.0804069119286512,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,truthfulqa,43.52,44.23,0.71,-0.2103623188405797,-2.5011315496098105,2.0804069119286512,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,mmlu,47.66,47.76,0.1,-0.3050980392156863,-2.5958672699849172,1.9856711915535445,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,arc_challenge,58.36,57.85,-0.51,-0.3050980392156863,-2.5958672699849172,1.9856711915535445,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,gsm8k,45.72,45.49,-0.23,-0.3050980392156863,-2.5958672699849172,1.9856711915535445,False,True,Llama-3.2-1B-Instruct|s0
