model,family,base_model,scheme,benchmark,acc_before,acc_after,y,yhat,lo,hi,backoff,covered,fold
RedHatAI/Mixtral-8x7B-v0.1-quantized.w4a16,mistral,Mixtral-8x7B-v0.1,w4a16,mmlu,70.33,69.23,-1.1,-0.8011578947368421,-2.2537245243212007,0.6514087348475168,False,True,0
RedHatAI/Mistral-7B-Instruct-v0.3-quantized.w4a16,mistral,Mistral-7B-Instruct-v0.3,w4a16,winogrande,79.55,79.87,0.32,-0.8011578947368421,-5.070882910260639,3.4685671207869557,False,True,0
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8,llama-3.1,Meta-Llama-3.1-70B-Instruct,fp8,truthfulqa,60.68,60.84,0.16,-0.38951219512195123,-2.166527174351419,1.3875027841075167,False,True,0
RedHatAI/Qwen2.5-7B-quantized.w4a16,qwen2.5,Qwen2.5-7B,w4a16,mmlu,74.15,73.47,-0.68,-0.8011578947368421,-2.193329694263543,0.591013904789859,False,True,0
RedHatAI/Qwen2.5-7B-quantized.w8a16,qwen2.5,Qwen2.5-7B,w8a16,winogrande,75.69,75.37,-0.32,0.037222222222222226,-6.378640095907717,6.453084540352161,False,True,0
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,llama-3.1,Meta-Llama-3.1-8B-Instruct,w4a16,humaneval,67.3,67.1,-0.2,-0.8011578947368421,-14.604395046665534,13.002079257191848,False,True,0
RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,granite,granite-3.1-2b-instruct,w8a8_int,gpqa,28.3,27.6,-0.7,-0.2696875,-3.883341039187033,3.343966039187033,False,True,0
RedHatAI/Qwen2.5-72B-quantized.w8a8,qwen2.5,Qwen2.5-72B,w8a8_int,truthfulqa,60.44,60.49,0.05,-0.2696875,-3.1744595991956355,2.6350845991956358,False,True,0
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,llama-3.1,Meta-Llama-3.1-405B-Instruct,w8a8_int,mmlu_pro,59.7,58.4,-1.3,-0.2696875,-1.0289701924830612,0.4895951924830611,False,False,0
RedHatAI/Qwen2.5-7B-Instruct-FP8-dynamic,qwen2.5,Qwen2.5-7B-Instruct,fp8_dynamic,gsm8k,80.36,80.06,-0.3,-0.10183486238532109,-1.3223472574075834,1.1186775326369411,False,True,0
RedHatAI/Meta-Llama-3.1-8B-quantized.w8a8,llama-3.1,Meta-Llama-3.1-8B,w8a8_int,winogrande,77.9,78.22,0.32,-0.2696875,-2.2489768218011865,1.7096018218011864,False,True,0
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-NVFP4,mistral,Mistral-Small-3.2-24B-Instruct-2506,nvfp4,gsm8k,89.61,87.11,-2.5,-1.0487096774193547,-5.060469001691288,2.9630496468525784,False,True,0
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,llama-3.1,Meta-Llama-3.1-8B-Instruct,w8a8_int,mmlu,68.3,67.8,-0.5,-0.2696875,-0.936430127262458,0.397055127262458,False,True,0
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,llama-3.1,Meta-Llama-3.1-8B-Instruct,w4a16,arena_hard,25.8,27.2,1.4,-0.8011578947368421,-8.174226392792104,6.571910603318419,False,True,0
RedHatAI/Qwen3-32B-NVFP4,qwen3,Qwen3-32B,nvfp4,bbh,62.35,60.72,-1.63,-1.0487096774193547,-3.9158445796991312,1.8184252248604216,False,True,0
RedHatAI/Mistral-7B-Instruct-v0.3-FP8,mistral,Mistral-7B-Instruct-v0.3,fp8,gsm8k,49.05,47.54,-1.51,-0.38951219512195123,-1.8208488017533835,1.0418244115094812,False,True,0
RedHatAI/Meta-Llama-3.1-8B-quantized.w8a8,llama-3.1,Meta-Llama-3.1-8B,w8a8_int,mmlu,65.07,64.95,-0.12,-0.2696875,-0.9528246998872822,0.41344969988728225,False,True,0
RedHatAI/Qwen3-8B-FP8-dynamic,qwen3,Qwen3-8B,fp8_dynamic,hellaswag,56.52,55.95,-0.57,-0.10183486238532109,-0.6537974247274183,0.4501276999567761,False,True,0
RedHatAI/Qwen3-32B-quantized.w4a16,qwen3,Qwen3-32B,w4a16,gpqa,66.67,66.67,0.0,-0.8011578947368421,-9.193155332572765,7.59083954309908,False,True,0
RedHatAI/Qwen2.5-7B-FP8-dynamic,qwen2.5,Qwen2.5-7B,fp8_dynamic,arc_challenge,59.39,59.39,0.0,-0.10183486238532109,-1.7024364297852972,1.498766705014655,False,True,0
