model,family,base_model,scheme,benchmark,acc_before,acc_after,y,yhat,lo,hi,backoff,covered,fold
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,mmlu,47.66,47.55,-0.11,-0.2103623188405797,-1.0590063258094962,0.6382816881283369,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,mmlu_cot,47.1,46.79,-0.31,-0.2103623188405797,-1.058507033489224,0.6377823958080644,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,arc_challenge,58.36,57.25,-1.11,-0.2103623188405797,-3.1096769755607254,2.688952337879566,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,gsm8k,45.72,45.94,0.22,-0.2103623188405797,-2.9721913308208547,2.5514666931396954,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,winogrande,62.27,61.4,-0.87,-0.2103623188405797,-2.9521933216785103,2.531468683997351,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,hellaswag,61.01,60.95,-0.06,-0.2103623188405797,-1.190333211569048,0.7696085738878886,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,truthfulqa,43.52,44.23,0.71,-0.2103623188405797,-3.7027859158235197,3.2820612781423604,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,mmlu,47.66,47.76,0.1,-0.3050980392156863,-0.8639940383199576,0.25379795988858506,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,arc_challenge,58.36,57.85,-0.51,-0.3050980392156863,-2.2145151192618484,1.6043190408304757,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,gsm8k,45.72,45.49,-0.23,-0.3050980392156863,-2.123970466676799,1.5137743882454262,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,hellaswag,61.01,61.0,-0.01,-0.3050980392156863,-0.9504826842340337,0.34028660580266107,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,winogrande,62.27,62.35,0.08,-0.3050980392156863,-2.1108002713912315,1.500604192959859,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,truthfulqa,43.52,43.08,-0.44,-0.3050980392156863,-2.6051220298436037,1.994925951412231,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,mmlu,47.66,47.95,0.29,-0.29630872483221476,-0.9474485441956344,0.3548310945312048,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,mmlu_cot,47.1,44.63,-2.47,-0.29630872483221476,-0.9470654517463128,0.3544480020818834,False,False,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,arc_challenge,58.36,56.14,-2.22,-0.29630872483221476,-2.5208683827708795,1.92825093310645,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,gsm8k,45.72,46.7,0.98,-0.29630872483221476,-2.4153796535206395,1.82276220385621,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,hellaswag,61.01,60.95,-0.06,-0.29630872483221476,-1.0482118371298024,0.4555943874653728,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,winogrande,62.27,61.33,-0.94,-0.29630872483221476,-2.4000357637934466,1.807418314129017,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,truthfulqa,43.52,42.84,-0.68,-0.29630872483221476,-2.97594359104922,2.38332614138479,False,True,Llama-3.2-1B-Instruct|s0
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,mmlu,47.66,47.55,-0.11,-0.06713178294573643,-0.4927287293169603,0.3584651634254874,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,mmlu_cot,47.1,46.79,-0.31,-0.06713178294573643,-0.4924783330552658,0.35821476716379286,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,arc_challenge,58.36,57.25,-1.11,-0.06713178294573643,-1.521144837108061,1.3868812712165879,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,gsm8k,45.72,45.94,0.22,-0.06713178294573643,-1.4521954660046708,1.3179319001131977,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,winogrande,62.27,61.4,-0.87,-0.06713178294573643,-1.442166417835363,1.30790285194389,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,hellaswag,61.01,60.95,-0.06,-0.06713178294573643,-0.5585894684451811,0.4243259025537083,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,truthfulqa,43.52,44.23,0.71,-0.06713178294573643,-1.8185903522692415,1.6843267863777684,False,True,Llama-3.2-1B-Instruct|s1
