model,family,base_model,scheme,benchmark,acc_before,acc_after,y,yhat,lo,hi,backoff,covered,fold
RedHatAI/gemma-2-27b-it-quantized.w8a16,gemma-2,gemma-2-27b-it,w8a16,mmlu,76.34,76.34,0.0,0.11074999999999999,-2.9488896815189376,3.1703896815189374,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-27b-it-quantized.w8a16,gemma-2,gemma-2-27b-it,w8a16,arc_challenge,74.49,74.49,0.0,0.11074999999999999,-10.752048703949376,10.973548703949374,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-27b-it-quantized.w8a16,gemma-2,gemma-2-27b-it,w8a16,gsm8k,21.0,20.32,-0.68,0.11074999999999999,-9.45683031153231,9.678330311532308,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-27b-it-quantized.w8a16,gemma-2,gemma-2-27b-it,w8a16,hellaswag,86.03,86.04,0.01,0.11074999999999999,-2.8405569271647297,3.0620569271647295,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-27b-it-quantized.w8a16,gemma-2,gemma-2-27b-it,w8a16,winogrande,77.98,77.74,-0.24,0.11074999999999999,-9.82071431580187,10.04221431580187,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-27b-it-quantized.w8a16,gemma-2,gemma-2-27b-it,w8a16,truthfulqa,64.6,64.51,-0.09,0.11074999999999999,-14.162017225466899,14.383517225466898,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-2b-it-FP8,gemma-2,gemma-2-2b-it,fp8,mmlu,56.93,56.87,-0.06,-0.39129032258064517,-0.9331170044999701,0.15053635933867987,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-2b-it-FP8,gemma-2,gemma-2-2b-it,fp8,arc_challenge,57.76,57.25,-0.51,-0.39129032258064517,-2.2620955965402954,1.479514951379005,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-2b-it-FP8,gemma-2,gemma-2-2b-it,fp8,gsm8k,45.11,44.35,-0.76,-0.39129032258064517,-2.1678404884326006,1.3852598432713104,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-2b-it-FP8,gemma-2,gemma-2-2b-it,fp8,hellaswag,71.22,70.87,-0.35,-0.39129032258064517,-0.9770953780457188,0.1945147328844285,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-2b-it-FP8,gemma-2,gemma-2-2b-it,fp8,winogrande,68.67,68.11,-0.56,-0.39129032258064517,-2.0809228361096244,1.2983421909483341,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-2b-it-FP8,gemma-2,gemma-2-2b-it,fp8,truthfulqa,53.11,52.99,-0.12,-0.39129032258064517,-2.6550696160539204,1.8724889708926302,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-2b-it-quantized.w4a16,gemma-2,gemma-2-2b-it,w4a16,mmlu,56.93,55.98,-0.95,-0.7502884615384615,-1.8167774508392127,0.3162005277622897,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-2b-it-quantized.w4a16,gemma-2,gemma-2-2b-it,w4a16,arc_challenge,57.76,57.08,-0.68,-0.7502884615384615,-4.432634297177495,2.9320573741005727,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-2b-it-quantized.w4a16,gemma-2,gemma-2-2b-it,w4a16,gsm8k,45.11,42.0,-3.11,-0.7502884615384615,-4.247109961930426,2.746533038853503,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-2b-it-quantized.w4a16,gemma-2,gemma-2-2b-it,w4a16,hellaswag,71.22,70.53,-0.69,-0.7502884615384615,-1.9033410194470795,0.4027640963701564,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-2b-it-quantized.w4a16,gemma-2,gemma-2-2b-it,w4a16,winogrande,68.67,68.35,-0.32,-0.7502884615384615,-4.076028097061824,2.5754511739849013,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-2b-it-quantized.w4a16,gemma-2,gemma-2-2b-it,w4a16,truthfulqa,53.11,52.57,-0.54,-0.7502884615384615,-5.2061334231488186,3.705556500071896,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-2b-it-quantized.w8a16,gemma-2,gemma-2-2b-it,w8a16,mmlu,56.94,56.81,-0.13,0.11074999999999999,-3.454028755787769,3.6755287557877687,False,True,test=gemma-2|cal=granite+llama-3.1
RedHatAI/gemma-2-2b-it-quantized.w8a16,gemma-2,gemma-2-2b-it,w8a16,arc_challenge,58.87,58.7,-0.17,0.11074999999999999,-12.15132273816295,12.372822738162949,False,True,test=gemma-2|cal=granite+llama-3.1
