model,base_model,family,params_b,is_instruct,scheme,weight_bits,act_bits,num_type,method,benchmark,n_items,acc_before,acc_after,delta,orient_src,verified,family_raw,group,pred,lo,hi,inside_90,ae,ae_baseline
RedHatAI/gemma-3-27b-it-quantized.w4a16,gemma-3-27b-it,other,27.0,1,w4a16,4,16,int,unknown,arc_challenge,1172,72.53,72.35,-0.18,arith,1,other,gemma-3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.5549222797927462,0.20851897184822527
RedHatAI/gemma-3-27b-it-quantized.w4a16,gemma-3-27b-it,other,27.0,1,w4a16,4,16,int,unknown,gsm8k,1319,92.12,91.66,-0.46,arith,1,other,gemma-3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.27492227979274614,0.07148102815177476
RedHatAI/gemma-3-27b-it-quantized.w4a16,gemma-3-27b-it,other,27.0,1,w4a16,4,16,int,unknown,hellaswag,10042,85.78,84.97,-0.81,arith,1,other,gemma-3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.0750777202072539,0.4214810281517748
RedHatAI/gemma-3-27b-it-quantized.w4a16,gemma-3-27b-it,other,27.0,1,w4a16,4,16,int,unknown,mmlu,14042,77.53,76.77,-0.76,arith,1,other,gemma-3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.02507772020725385,0.37148102815177475
RedHatAI/gemma-3-27b-it-quantized.w4a16,gemma-3-27b-it,other,27.0,1,w4a16,4,16,int,unknown,truthfulqa,817,62.2,62.57,0.37,arith,1,other,gemma-3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,1.104922279792746,0.7585189718482253
RedHatAI/gemma-3-27b-it-quantized.w8a8,gemma-3-27b-it,other,27.0,1,w8a8_int,8,8,int,unknown,arc_challenge,1172,72.53,70.82,-1.71,arith,1,other,gemma-3,-0.3202577319587629,-1.71,1.069484536082474,True,1.389742268041237,1.3214810281517746
RedHatAI/gemma-3-27b-it-quantized.w8a8,gemma-3-27b-it,other,27.0,1,w8a8_int,8,8,int,unknown,gsm8k,1319,92.12,85.75,-6.37,arith,1,other,gemma-3,-0.3202577319587629,-1.71,1.069484536082474,False,6.049742268041237,5.981481028151775
RedHatAI/gemma-3-27b-it-quantized.w8a8,gemma-3-27b-it,other,27.0,1,w8a8_int,8,8,int,unknown,hellaswag,10042,85.78,85.05,-0.73,arith,1,other,gemma-3,-0.3202577319587629,-1.71,1.069484536082474,True,0.4097422680412371,0.3414810281517747
RedHatAI/gemma-3-27b-it-quantized.w8a8,gemma-3-27b-it,other,27.0,1,w8a8_int,8,8,int,unknown,mmlu,14042,77.53,76.37,-1.16,arith,1,other,gemma-3,-0.3202577319587629,-1.71,1.069484536082474,True,0.839742268041237,0.7714810281517747
RedHatAI/gemma-3-27b-it-quantized.w8a8,gemma-3-27b-it,other,27.0,1,w8a8_int,8,8,int,unknown,truthfulqa,817,62.2,61.73,-0.47,arith,1,other,gemma-3,-0.3202577319587629,-1.71,1.069484536082474,True,0.14974226804123708,0.08148102815177471
RedHatAI/gemma-3-27b-it-quantized.w8a8,gemma-3-27b-it,other,27.0,1,w8a8_int,8,8,int,unknown,winogrande,1267,79.4,79.72,0.32,arith,1,other,gemma-3,-0.3202577319587629,-1.71,1.069484536082474,True,0.6402577319587629,0.7085189718482252
RedHatAI/gemma-3-27b-it-FP8-dynamic,gemma-3-27b-it,other,27.0,1,fp8_dynamic,8,8,fp,rtn,arc_challenge,1172,72.53,72.7,0.17,arith,1,other,gemma-3,-0.047700000000000006,-1.44,1.3445999999999998,True,0.2177,0.5585189718482253
RedHatAI/gemma-3-27b-it-FP8-dynamic,gemma-3-27b-it,other,27.0,1,fp8_dynamic,8,8,fp,rtn,gsm8k,1319,92.12,91.51,-0.61,arith,1,other,gemma-3,-0.047700000000000006,-1.44,1.3445999999999998,True,0.5623,0.22148102815177473
RedHatAI/gemma-3-27b-it-FP8-dynamic,gemma-3-27b-it,other,27.0,1,fp8_dynamic,8,8,fp,rtn,hellaswag,10042,85.78,85.69,-0.09,arith,1,other,gemma-3,-0.047700000000000006,-1.44,1.3445999999999998,True,0.04229999999999999,0.2985189718482253
RedHatAI/gemma-3-27b-it-FP8-dynamic,gemma-3-27b-it,other,27.0,1,fp8_dynamic,8,8,fp,rtn,mmlu,14042,77.53,77.45,-0.08,arith,1,other,gemma-3,-0.047700000000000006,-1.44,1.3445999999999998,True,0.032299999999999995,0.30851897184822524
RedHatAI/gemma-3-27b-it-FP8-dynamic,gemma-3-27b-it,other,27.0,1,fp8_dynamic,8,8,fp,rtn,truthfulqa,817,62.2,62.2,0.0,arith,1,other,gemma-3,-0.047700000000000006,-1.44,1.3445999999999998,True,0.047700000000000006,0.38851897184822526
RedHatAI/gemma-3-27b-it-FP8-dynamic,gemma-3-27b-it,other,27.0,1,fp8_dynamic,8,8,fp,rtn,winogrande,1267,79.4,78.77,-0.63,arith,1,other,gemma-3,-0.047700000000000006,-1.44,1.3445999999999998,True,0.5823,0.24148102815177475
RedHatAI/gemma-3-12b-it-quantized.w4a16,gemma-3-12b-it,other,12.0,1,w4a16,4,16,int,unknown,arc_challenge,1172,68.43,66.3,-2.13,arith,1,other,gemma-3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,1.3950777202072537,1.7414810281517745
RedHatAI/gemma-3-12b-it-quantized.w4a16,gemma-3-12b-it,other,12.0,1,w4a16,4,16,int,unknown,gsm8k,1319,88.1,85.52,-2.58,arith,1,other,gemma-3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,1.845077720207254,2.1914810281517747
RedHatAI/gemma-3-12b-it-quantized.w4a16,gemma-3-12b-it,other,12.0,1,w4a16,4,16,int,unknown,hellaswag,10042,83.76,82.27,-1.49,arith,1,other,gemma-3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.7550777202072538,1.1014810281517748
RedHatAI/gemma-3-12b-it-quantized.w4a16,gemma-3-12b-it,other,12.0,1,w4a16,4,16,int,unknown,mmlu,14042,72.15,71.31,-0.84,arith,1,other,gemma-3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.10507772020725381,0.4514810281517747
RedHatAI/gemma-3-12b-it-quantized.w4a16,gemma-3-12b-it,other,12.0,1,w4a16,4,16,int,unknown,truthfulqa,817,58.13,58.34,0.21,arith,1,other,gemma-3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.9449222797927461,0.5985189718482252
RedHatAI/gemma-3-12b-it-quantized.w4a16,gemma-3-12b-it,other,12.0,1,w4a16,4,16,int,unknown,winogrande,1267,79.4,78.61,-0.79,arith,1,other,gemma-3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.05507772020725388,0.4014810281517748
RedHatAI/gemma-3-12b-it-quantized.w8a8,gemma-3-12b-it,other,12.0,1,w8a8_int,8,8,int,unknown,arc_challenge,1172,68.43,68.43,0.0,arith,1,other,gemma-3,-0.3202577319587629,-1.71,1.069484536082474,True,0.3202577319587629,0.38851897184822526
RedHatAI/gemma-3-12b-it-quantized.w8a8,gemma-3-12b-it,other,12.0,1,w8a8_int,8,8,int,unknown,gsm8k,1319,88.1,87.72,-0.38,arith,1,other,gemma-3,-0.3202577319587629,-1.71,1.069484536082474,True,0.05974226804123711,0.008518971848225254
RedHatAI/gemma-3-12b-it-quantized.w8a8,gemma-3-12b-it,other,12.0,1,w8a8_int,8,8,int,unknown,hellaswag,10042,83.76,83.53,-0.23,arith,1,other,gemma-3,-0.3202577319587629,-1.71,1.069484536082474,True,0.09025773195876288,0.15851897184822525
RedHatAI/gemma-3-12b-it-quantized.w8a8,gemma-3-12b-it,other,12.0,1,w8a8_int,8,8,int,unknown,mmlu,14042,72.15,71.65,-0.5,arith,1,other,gemma-3,-0.3202577319587629,-1.71,1.069484536082474,True,0.1797422680412371,0.11148102815177474
RedHatAI/gemma-3-12b-it-quantized.w8a8,gemma-3-12b-it,other,12.0,1,w8a8_int,8,8,int,unknown,truthfulqa,817,58.13,58.44,0.31,arith,1,other,gemma-3,-0.3202577319587629,-1.71,1.069484536082474,True,0.6302577319587629,0.6985189718482252
RedHatAI/gemma-3-12b-it-quantized.w8a8,gemma-3-12b-it,other,12.0,1,w8a8_int,8,8,int,unknown,winogrande,1267,79.4,78.77,-0.63,arith,1,other,gemma-3,-0.3202577319587629,-1.71,1.069484536082474,True,0.3097422680412371,0.24148102815177475
RedHatAI/gemma-3-4b-it-quantized.w4a16,gemma-3-4b-it,other,4.0,1,w4a16,4,16,int,unknown,arc_challenge,1172,56.57,56.57,0.0,arith,1,other,gemma-3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.7349222797927462,0.38851897184822526
RedHatAI/gemma-3-4b-it-quantized.w4a16,gemma-3-4b-it,other,4.0,1,w4a16,4,16,int,unknown,gsm8k,1319,76.12,72.33,-3.79,arith,1,other,gemma-3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False,3.0550777202072537,3.4014810281517747
RedHatAI/gemma-3-4b-it-quantized.w4a16,gemma-3-4b-it,other,4.0,1,w4a16,4,16,int,unknown,hellaswag,10042,74.96,73.35,-1.61,arith,1,other,gemma-3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.8750777202072539,1.221481028151775
RedHatAI/gemma-3-4b-it-quantized.w4a16,gemma-3-4b-it,other,4.0,1,w4a16,4,16,int,unknown,mmlu,14042,58.38,56.33,-2.05,arith,1,other,gemma-3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,1.3150777202072537,1.6614810281517745
RedHatAI/gemma-3-4b-it-quantized.w4a16,gemma-3-4b-it,other,4.0,1,w4a16,4,16,int,unknown,truthfulqa,817,51.87,50.81,-1.06,arith,1,other,gemma-3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.3250777202072539,0.6714810281517748
RedHatAI/gemma-3-4b-it-FP8-dynamic,gemma-3-4b-it,other,4.0,1,fp8_dynamic,8,8,fp,rtn,arc_challenge,1172,56.57,57.08,0.51,arith,1,other,gemma-3,-0.047700000000000006,-1.44,1.3445999999999998,True,0.5577,0.8985189718482253
RedHatAI/gemma-3-4b-it-FP8-dynamic,gemma-3-4b-it,other,4.0,1,fp8_dynamic,8,8,fp,rtn,gsm8k,1319,76.12,75.51,-0.61,arith,1,other,gemma-3,-0.047700000000000006,-1.44,1.3445999999999998,True,0.5623,0.22148102815177473
RedHatAI/gemma-3-4b-it-FP8-dynamic,gemma-3-4b-it,other,4.0,1,fp8_dynamic,8,8,fp,rtn,hellaswag,10042,74.96,74.92,-0.04,arith,1,other,gemma-3,-0.047700000000000006,-1.44,1.3445999999999998,True,0.0077000000000000055,0.3485189718482253
RedHatAI/gemma-3-4b-it-FP8-dynamic,gemma-3-4b-it,other,4.0,1,fp8_dynamic,8,8,fp,rtn,mmlu,14042,58.38,57.98,-0.4,arith,1,other,gemma-3,-0.047700000000000006,-1.44,1.3445999999999998,True,0.3523,0.011481028151774764
